Name,compass.d.h-
Comment,COMPASS isoscalar h-. thFactor contains DIS normalization (by MSHT20nnlo)
Reference,1709.07374
Process type,SIDIS
Number of points,2332
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass.d.h-.36,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.6120317551718187,0.5916079783099616,0.6324555320336759,1.3508,0.0775,0.15615247999999998,0.018185869051048992,0.1517428873554512,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.37,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.6553442651731014,0.6324555320336759,0.6782329983125268,1.1441,0.0672,0.13637671999999998,0.015403059506444439,0.12645240612954278,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.38,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.6996716267026624,0.6782329983125268,0.7211102550927979,0.8143,0.0569,0.10040319,0.010962950228212314,0.12645240612954256,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.39,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.7478534621671407,0.7211102550927979,0.7745966692414834,0.5844,0.0404,0.07398504,0.007867798248025637,0.09483930459715714,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.40,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.7996088971825077,0.7745966692414834,0.8246211251235321,0.4908,0.0381,0.06630708,0.006607658076883954,0.09483930459715714,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.41,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.8482004569158335,0.8246211251235321,0.8717797887081347,0.2946,0.029,0.042275099999999996,0.003966210410452349,0.09483930459715725,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.42,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.902258847008508,0.8717797887081347,0.9327379053088815,0.2584,0.0236,0.0377264,0.0034788485066560995,0.06897403970702334,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.43,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.9663689526544408,0.9327379053088815,1.0,0.1482,0.0156,0.0231933,0.0019952219376409984,0.058362648982865854,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.44,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,1.029150262212918,1.0,1.0583005244258363,0.0998,0.0132,0.017195540000000002,0.0013436109944438032,0.06322620306477134,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.45,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,1.0859266984959204,1.0583005244258363,1.1135528725660044,0.0719,0.0114,0.013531580000000001,0.000967992289584263,0.06322620306477134,True,0.1,0.9,25.0,10000.0,0.938,0.139
