Name,hermes.p.no-vmsub.zxpt.pi-
Comment,HERMES proton-to-pi- (zxpt-3D) no-vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
Reference,1212.5407
Process type,SIDIS
Number of points,335
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.p.no-vmsub.zxpt.pi-.38,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.5420689,0.475,0.6,0.4084944,0.35,0.45,0.5249828,0.01708896,0.0241495,0.014133894414249693,0.009312044746572648,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.39,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.5403907,0.475,0.6,0.5308294,0.45,0.6,0.4841504,0.01233786,0.04604953,0.013034580626673396,0.006208029831048435,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.40,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.5478636,0.475,0.6,0.7021481,0.6,0.8,0.2829609,0.007484369,0.03988516,0.007618039074729813,0.004656022373286324,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.41,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.5402718,0.475,0.6,0.9611854,0.8,1.2,0.0955854,0.002630826,0.01339492,0.0025734061213887817,0.0023280111866431632,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.42,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.6899448,0.6,0.8,0.1014492,0.0,0.15,0.08054307,0.006245882,0.002576952,0.00216842770311622,0.00388001864440527,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.43,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.6940781,0.6,0.8,0.2034127,0.15,0.25,0.22117,0.01023308,0.0391053,0.005954468275150357,0.005820027966607905,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.44,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.6902786,0.6,0.8,0.300395,0.25,0.35,0.3033031,0.01117933,0.08474794,0.008165703697177538,0.005820027966607906,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.45,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.685912,0.6,0.8,0.4009562,0.35,0.45,0.30027,0.01097375,0.0396703,0.00808404480254735,0.005820027966607902,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.46,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.6873729,0.6,0.8,0.5236346,0.45,0.6,0.2250955,0.007047059,0.03210393,0.006060152885242606,0.0038800186444052707,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.47,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.6880805,0.6,0.8,0.6928845,0.6,0.8,0.1338779,0.004385923,0.02098629,0.003604339233592946,0.002910013983303951,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.48,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.686238,0.6,0.8,0.9517994,0.8,1.2,0.04007812,0.001521157,0.006329777,0.0010790066196485464,0.0014550069916519765,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.49,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.8929212,0.8,1.1,0.1083702,0.0,0.15,0.0445909,0.00283047,0.001499417,0.0012005023258597552,0.0025866790962701808,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.50,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.874397,0.8,1.1,0.2019668,0.15,0.25,0.09444478,0.006280298,0.01667803,0.0025426976817088886,0.0038800186444052707,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.51,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.8756005,0.8,1.1,0.2968198,0.25,0.35,0.07550392,0.005469381,0.02111913,0.0020327607554799045,0.0038800186444052716,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.52,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.8625979,0.8,1.1,0.4033756,0.35,0.45,0.07657691,0.005291892,0.0102439,0.0020616484206901664,0.003880018644405269,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.53,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.8633378,0.8,1.1,0.5154033,0.45,0.6,0.05718687,0.004238705,0.008219012,0.001539618407424821,0.0025866790962701808,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.54,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.8587443,0.8,1.1,0.6939034,0.6,0.8,0.02375055,0.002206593,0.003735056,0.0006394262173548505,0.0019400093222026345,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.55,1 / 1 / -1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.8481465,0.8,1.1,0.9284211,0.8,1.2,0.007001483,0.0008432902,0.001102476,0.000188498025964211,0.0009700046611013179,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.56,1 / 1 / -1 / 2001,52.657444,1.2288104003466116,1.0,4.47213595499958,0.06109764,0.047,0.075,0.1448088,0.1,0.2,0.1042913,0.0,0.15,3.367526,0.04506846,0.2035515,0.07237591091908722,0.004390849192973372,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.57,1 / 1 / -1 / 2001,52.657444,1.2288104003466116,1.0,4.47213595499958,0.06109764,0.047,0.075,0.1460035,0.1,0.2,0.2106578,0.15,0.25,6.861544,0.06672843,1.11747,0.147470427046858,0.006586273789460057,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.58,1 / 1 / -1 / 2001,52.657444,1.2288104003466116,1.0,4.47213595499958,0.06109764,0.047,0.075,0.148345,0.1,0.2,0.3126589,0.25,0.35,7.361563,0.06675554,0.422527,0.15821699013259247,0.006586273789460058,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.59,1 / 1 / -1 / 2001,52.657444,1.2288104003466116,1.0,4.47213595499958,0.06109764,0.047,0.075,0.1506585,0.1,0.2,0.4186128,0.35,0.45,5.711704,0.06401824,0.2750542,0.12275770993310645,0.006586273789460055,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.60,1 / 1 / -1 / 2001,52.657444,1.2288104003466116,1.0,4.47213595499958,0.06109764,0.047,0.075,0.1540164,0.1,0.2,0.5541303,0.45,0.6,3.31217,0.05346639,0.38136,0.07118618263641414,0.004390849192973372,True,0.1,0.85,10.0,10000.0,0.938,0.139
