Name,LHCb13_dy(2021)
Comment,LHCb 13TeV 2021 update y-differential
Reference,arXiv:2112.07458
Process type,DY
Number of points,70
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.02
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
LHCb13_dy(2021).36,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.25,3.0,3.5,14.100000000000001,12.8,15.4,3.52,0.03,0.08,0.7692307692307694,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).37,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.25,3.0,3.5,17.2,15.4,19.0,2.81,0.02,0.03,0.5555555555555556,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).38,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.25,3.0,3.5,21.75,19.0,24.5,1.923,0.013,0.051,0.36363636363636365,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).39,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.25,3.0,3.5,29.25,24.5,34.0,1.16,0.008,0.012,0.21052631578947367,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).40,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.25,3.0,3.5,48.5,34.0,63.0,0.425,0.003,0.006,0.06896551724137931,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).41,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.25,3.0,3.5,166.5,63.0,270.0,0.02,0.0002,0.0003,0.00966183574879227,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).42,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.75,3.5,4.0,1.1,0.0,2.2,2.37,0.03,0.12,0.9090909090909091,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).43,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.75,3.5,4.0,2.8,2.2,3.4,4.56,0.05,0.19,1.666666666666667,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).44,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.75,3.5,4.0,4.0,3.4,4.6,4.5,0.05,0.16,1.666666666666667,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).45,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.75,3.5,4.0,5.199999999999999,4.6,5.8,4.17,0.05,0.07,1.6666666666666665,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).46,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.75,3.5,4.0,6.5,5.8,7.2,3.59,0.04,0.08,1.4285714285714282,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).47,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.75,3.5,4.0,7.949999999999999,7.2,8.7,3.18,0.03,0.13,1.3333333333333341,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).48,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.75,3.5,4.0,9.6,8.7,10.5,2.72,0.03,0.09,1.1111111111111107,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).49,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.75,3.5,4.0,11.65,10.5,12.8,2.38,0.02,0.04,0.8695652173913041,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).50,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.75,3.5,4.0,14.100000000000001,12.8,15.4,1.823,0.019,0.04,0.7692307692307694,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).51,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.75,3.5,4.0,17.2,15.4,19.0,1.361,0.013,0.059,0.5555555555555556,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).52,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.75,3.5,4.0,21.75,19.0,24.5,0.955,0.009,0.012,0.36363636363636365,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).53,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.75,3.5,4.0,29.25,24.5,34.0,0.569,0.005,0.011,0.21052631578947367,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).54,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.75,3.5,4.0,48.5,34.0,63.0,0.187,0.002,0.003,0.06896551724137931,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).55,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.75,3.5,4.0,166.5,63.0,270.0,0.00575,0.00012,0.00036,0.00966183574879227,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).56,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,4.25,4.0,4.5,1.1,0.0,2.2,0.388,0.012,0.013,0.9090909090909091,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).57,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,4.25,4.0,4.5,2.8,2.2,3.4,0.726,0.02,0.021,1.666666666666667,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).58,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,4.25,4.0,4.5,4.0,3.4,4.6,0.749,0.02,0.025,1.666666666666667,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).59,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,4.25,4.0,4.5,5.199999999999999,4.6,5.8,0.776,0.023,0.036,1.6666666666666665,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).60,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,4.25,4.0,4.5,6.5,5.8,7.2,0.617,0.016,0.019,1.4285714285714282,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).61,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,4.25,4.0,4.5,7.949999999999999,7.2,8.7,0.483,0.013,0.045,1.3333333333333341,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).62,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,4.25,4.0,4.5,9.6,8.7,10.5,0.428,0.012,0.015,1.1111111111111107,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).63,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,4.25,4.0,4.5,11.65,10.5,12.8,0.4,0.01,0.016,0.8695652173913041,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).64,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,4.25,4.0,4.5,14.100000000000001,12.8,15.4,0.259,0.007,0.01,0.7692307692307694,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).65,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,4.25,4.0,4.5,17.2,15.4,19.0,0.202,0.006,0.013,0.5555555555555556,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).66,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,4.25,4.0,4.5,21.75,19.0,24.5,0.143,0.004,0.005,0.36363636363636365,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).67,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,4.25,4.0,4.5,29.25,24.5,34.0,0.0761,0.0021,0.0015,0.21052631578947367,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).68,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,4.25,4.0,4.5,48.5,34.0,63.0,0.0208,0.0006,0.0012,0.06896551724137931,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).69,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,4.25,4.0,4.5,166.5,63.0,270.0,0.00028,2e-05,5e-05,0.00966183574879227,True,20.0,20.0,2.0,4.5
